,semantic,correct_relationships,model,CF,dataset
0,1,1.0,MLP0,actionable_recourse,sanity-3-lin
1,1,1.0,MLP0,actionable_recourse,sanity-3-lin
2,1,1.0,MLP0,actionable_recourse,sanity-3-lin
3,1,1.0,MLP0,actionable_recourse,sanity-3-lin
4,0,1.0,MLP0,actionable_recourse,sanity-3-lin
5,1,1.0,MLP0,actionable_recourse,sanity-3-lin
6,0,1.0,MLP0,actionable_recourse,sanity-3-lin
7,0,1.0,MLP0,actionable_recourse,sanity-3-lin
8,1,1.0,MLP0,actionable_recourse,sanity-3-lin
9,1,1.0,MLP0,actionable_recourse,sanity-3-lin
10,1,1.0,MLP0,actionable_recourse,sanity-3-lin
11,1,1.0,MLP0,actionable_recourse,sanity-3-lin
12,1,1.0,MLP0,actionable_recourse,sanity-3-lin
13,1,1.0,MLP0,actionable_recourse,sanity-3-lin
14,1,1.0,MLP0,actionable_recourse,sanity-3-lin
