,semantic,correct_relationships,model,CF,dataset
0,0,1.0,forest0,FeatureTweak,sanity-3-lin
1,1,1.0,forest0,FeatureTweak,sanity-3-lin
2,1,1.0,forest0,FeatureTweak,sanity-3-lin
3,0,1.0,forest0,FeatureTweak,sanity-3-lin
4,0,1.0,forest0,FeatureTweak,sanity-3-lin
5,1,1.0,forest0,FeatureTweak,sanity-3-lin
6,1,1.0,forest0,FeatureTweak,sanity-3-lin
7,0,1.0,forest0,FeatureTweak,sanity-3-lin
8,1,1.0,forest0,FeatureTweak,sanity-3-lin
9,0,1.0,forest0,FeatureTweak,sanity-3-lin
10,0,1.0,forest0,FeatureTweak,sanity-3-lin
11,0,1.0,forest0,FeatureTweak,sanity-3-lin
12,0,1.0,forest0,FeatureTweak,sanity-3-lin
13,1,1.0,forest0,FeatureTweak,sanity-3-lin
14,1,1.0,forest0,FeatureTweak,sanity-3-lin
15,0,1.0,forest0,FeatureTweak,sanity-3-lin
16,1,1.0,forest0,FeatureTweak,sanity-3-lin
17,0,1.0,forest0,FeatureTweak,sanity-3-lin
18,0,1.0,forest0,FeatureTweak,sanity-3-lin
19,0,1.0,forest0,FeatureTweak,sanity-3-lin
20,1,1.0,forest0,FeatureTweak,sanity-3-lin
21,0,1.0,forest0,FeatureTweak,sanity-3-lin
22,1,1.0,forest0,FeatureTweak,sanity-3-lin
23,1,1.0,forest0,FeatureTweak,sanity-3-lin
24,0,1.0,forest0,FeatureTweak,sanity-3-lin
25,0,1.0,forest0,FeatureTweak,sanity-3-lin
26,0,1.0,forest0,FeatureTweak,sanity-3-lin
27,0,1.0,forest0,FeatureTweak,sanity-3-lin
28,0,1.0,forest0,FeatureTweak,sanity-3-lin
29,1,1.0,forest0,FeatureTweak,sanity-3-lin
30,1,1.0,forest0,FeatureTweak,sanity-3-lin
31,1,1.0,forest0,FeatureTweak,sanity-3-lin
32,1,1.0,forest0,FeatureTweak,sanity-3-lin
33,0,1.0,forest0,FeatureTweak,sanity-3-lin
34,0,1.0,forest0,FeatureTweak,sanity-3-lin
35,1,1.0,forest0,FeatureTweak,sanity-3-lin
36,0,1.0,forest0,FeatureTweak,sanity-3-lin
37,0,1.0,forest0,FeatureTweak,sanity-3-lin
38,0,1.0,forest0,FeatureTweak,sanity-3-lin
39,0,1.0,forest0,FeatureTweak,sanity-3-lin
40,1,1.0,forest0,FeatureTweak,sanity-3-lin
41,1,1.0,forest0,FeatureTweak,sanity-3-lin
42,0,1.0,forest0,FeatureTweak,sanity-3-lin
43,1,1.0,forest0,FeatureTweak,sanity-3-lin
44,0,1.0,forest0,FeatureTweak,sanity-3-lin
45,1,1.0,forest0,FeatureTweak,sanity-3-lin
46,0,1.0,forest0,FeatureTweak,sanity-3-lin
47,1,1.0,forest0,FeatureTweak,sanity-3-lin
48,1,1.0,forest0,FeatureTweak,sanity-3-lin
49,0,1.0,forest0,FeatureTweak,sanity-3-lin
50,0,1.0,forest0,FeatureTweak,sanity-3-lin
51,1,1.0,forest0,FeatureTweak,sanity-3-lin
52,1,1.0,forest0,FeatureTweak,sanity-3-lin
