,Unnamed: 0,semantic,correct_relationships,Success_Rate,model,CF,dataset
0,0,1.0,1.0,1.0,forest0,FeatureTweak,credit
1,1,1.0,0.0,,forest0,FeatureTweak,credit
2,2,1.0,1.0,,forest0,FeatureTweak,credit
3,3,1.0,0.0,,forest0,FeatureTweak,credit
4,4,1.0,1.0,,forest0,FeatureTweak,credit
5,5,1.0,1.0,,forest0,FeatureTweak,credit
6,6,0.0,1.0,,forest0,FeatureTweak,credit
7,7,1.0,1.0,,forest0,FeatureTweak,credit
8,8,0.0,1.0,,forest0,FeatureTweak,credit
9,9,1.0,0.0,,forest0,FeatureTweak,credit
10,10,1.0,1.0,,forest0,FeatureTweak,credit
11,11,1.0,1.0,,forest0,FeatureTweak,credit
12,12,1.0,1.0,,forest0,FeatureTweak,credit
13,13,0.0,1.0,,forest0,FeatureTweak,credit
14,14,1.0,0.0,,forest0,FeatureTweak,credit
15,15,1.0,0.0,,forest0,FeatureTweak,credit
16,16,0.0,1.0,,forest0,FeatureTweak,credit
17,17,1.0,1.0,,forest0,FeatureTweak,credit
18,18,1.0,1.0,,forest0,FeatureTweak,credit
19,19,1.0,0.0,,forest0,FeatureTweak,credit
20,20,0.0,0.0,,forest0,FeatureTweak,credit
21,21,1.0,1.0,,forest0,FeatureTweak,credit
22,22,1.0,0.0,,forest0,FeatureTweak,credit
23,23,1.0,1.0,,forest0,FeatureTweak,credit
24,24,1.0,1.0,,forest0,FeatureTweak,credit
25,25,1.0,1.0,,forest0,FeatureTweak,credit
26,26,1.0,1.0,,forest0,FeatureTweak,credit
27,27,0.0,1.0,,forest0,FeatureTweak,credit
28,28,1.0,1.0,,forest0,FeatureTweak,credit
29,29,0.0,1.0,,forest0,FeatureTweak,credit
30,30,1.0,0.0,,forest0,FeatureTweak,credit
31,31,1.0,1.0,,forest0,FeatureTweak,credit
32,32,0.0,1.0,,forest0,FeatureTweak,credit
33,33,0.0,1.0,,forest0,FeatureTweak,credit
34,34,1.0,1.0,,forest0,FeatureTweak,credit
35,35,1.0,0.0,,forest0,FeatureTweak,credit
36,36,1.0,0.0,,forest0,FeatureTweak,credit
37,37,1.0,0.0,,forest0,FeatureTweak,credit
38,38,0.0,1.0,,forest0,FeatureTweak,credit
