,Unnamed: 0,model,dataset,CF,semantic_mean,semantic_std,relationship_mean,relationship_std
0,0,forest,credit,FeatureTweak,0.6277056277056278,0.417518946188034,0.6536796536796537,0.4041073949823363
0,0,linear,credit,actionable_recourse,0.4227005870841488,0.4285312154417532,0.4344422700587084,0.4285312154417532
0,0,linear,credit,cchvae,0.4285714285714284,0.4285714285714286,0.4285714285714284,0.4285714285714286
0,0,linear,credit,Clue,0.1366459627329192,0.14272205333013732,0.1490683229813664,0.14272205333013735
0,0,linear,credit,Cruds,0.14285714285714288,0.14285714285714285,0.1442857142857143,0.1449771269784954
0,0,linear,credit,growingspheres,0.4285714285714284,0.4285714285714286,0.4285714285714284,0.4285714285714286
0,0,linear,credit,wachter,0.14285714285714288,0.14285714285714285,0.14285714285714288,0.14285714285714285
0,0,MLP,credit,actionable_recourse,0.4285714285714286,0.42857142857142855,0.4285714285714286,0.42857142857142855
0,0,MLP,credit,cchvae,0.4285714285714284,0.4285714285714286,0.4285714285714284,0.4285714285714286
0,0,MLP,credit,Clue,0.13937282229965156,0.14281464482173656,0.14634146341463414,0.14281464482173656
0,0,MLP,credit,Cruds,0.14285714285714288,0.14285714285714285,0.14285714285714288,0.14285714285714285
0,0,MLP,credit,growingspheres,0.4285714285714284,0.4285714285714286,0.4285714285714284,0.4285714285714286
0,0,MLP,credit,wachter,0.1405152224824356,0.14283794549861273,0.1475409836065574,0.1462528805245526
0,0,forest,economic,FeatureTweak,0.7102272727272727,0.2923238856683309,0.7017045454545455,0.2999951575022393
0,0,forest,economic,focus,0.5909090909090909,0.40909090909090906,0.5909090909090909,0.40909090909090906
0,0,linear,economic,actionable_recourse,0.18181818181818185,0.1928473039599675,0.1590909090909091,0.18603074481528292
0,0,linear,economic,cchvae,0.10636363636363637,0.11285549891947505,0.10909090909090907,0.1157083823759805
0,0,linear,economic,Clue,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
0,0,linear,economic,Cruds,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
0,0,linear,economic,growingspheres,0.09272727272727277,0.09357897623605653,0.09363636363636364,0.09487268545941444
0,0,linear,economic,wachter,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
0,0,MLP,economic,actionable_recourse,0.18181818181818185,0.18181818181818185,0.18181818181818185,0.18181818181818185
0,0,MLP,economic,cchvae,0.10727272727272727,0.11309324756424717,0.09727272727272727,0.09979731525562899
0,0,MLP,economic,Clue,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
0,0,MLP,economic,Cruds,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
0,0,MLP,economic,growingspheres,0.09181818181818184,0.09225817171358798,0.09181818181818184,0.09225817171358798
0,0,MLP,economic,wachter,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
0,0,forest,sanity-3-lin,FeatureTweak,0.7118644067796609,0.4528945496910979,0.7118644067796609,0.4528945496910979
0,0,forest,sanity-3-lin,focus,0.81,0.20685475312133605,0.8266666666666667,0.1793816539609828
0,0,linear,sanity-3-lin,actionable_recourse,0.5,0.5,0.5,0.5
0,0,linear,sanity-3-lin,causal_recourse,0.53,0.4990991885387112,0.53,0.4990991885387112
0,0,linear,sanity-3-lin,cchvae,0.51,0.4998999899979994,0.53,0.4990991885387112
0,0,linear,sanity-3-lin,Clue,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
0,0,linear,sanity-3-lin,Cruds,0.16384180790960454,0.16664272546613135,0.16949152542372886,0.1666427254661314
0,0,linear,sanity-3-lin,do_calculus,0.56,0.4963869458396343,0.54,0.4983974317750845
0,0,linear,sanity-3-lin,growingspheres,0.5,0.5,0.5,0.5
0,0,linear,sanity-3-lin,wachter,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
0,0,MLP,sanity-3-lin,actionable_recourse,0.4,0.4898979485566357,0.6,0.4898979485566357
0,0,MLP,sanity-3-lin,causal_recourse,0.6,0.4898979485566357,0.57,0.4950757517794625
0,0,MLP,sanity-3-lin,cchvae,0.52,0.4995998398718718,0.53,0.4990991885387112
0,0,MLP,sanity-3-lin,Clue,0.1766666666666666,0.1853225416522352,0.1766666666666666,0.1853225416522352
0,0,MLP,sanity-3-lin,Cruds,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
0,0,MLP,sanity-3-lin,do_calculus,0.63,0.4828043081829324,0.6,0.4898979485566357
0,0,MLP,sanity-3-lin,growingspheres,0.5,0.5,0.5,0.5
0,0,MLP,sanity-3-lin,wachter,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
0,0,forest,sanity-3-non-add,FeatureTweak,0.5,0.3726779962499649,0.75,0.2763853991962833
0,0,forest,sanity-3-non-add,focus,0.8033333333333335,0.28711205710198473,0.8233333333333335,0.2726617766472676
0,0,linear,sanity-3-non-add,causal_recourse,0.3933333333333332,0.3570869797557887,0.3633333333333332,0.34671474025646953
0,0,linear,sanity-3-non-add,cchvae,0.3499999999999999,0.3476108935769036,0.3566666666666666,0.34722711107669385
0,0,linear,sanity-3-non-add,Clue,0.14285714285714285,0.1649572197684645,0.19047619047619047,0.1649572197684645
0,0,linear,sanity-3-non-add,Cruds,0.16049382716049382,0.16655231559545727,0.1728395061728395,0.1665523155954573
0,0,linear,sanity-3-non-add,do_calculus,0.4333333333333333,0.36666666666666653,0.4033333333333333,0.35992283123531416
0,0,linear,sanity-3-non-add,growingspheres,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
0,0,linear,sanity-3-non-add,wachter,0.16666666666666669,0.16666666666666666,0.16666666666666669,0.16666666666666666
0,0,MLP,sanity-3-non-add,causal_recourse,0.5133333333333333,0.3724394059590245,0.5333333333333333,0.3711842908553347
0,0,MLP,sanity-3-non-add,cchvae,0.6933333333333336,0.3580192421892681,0.6600000000000001,0.3711244175924475
0,0,MLP,sanity-3-non-add,Clue,0.1515151515151515,0.16597653257732306,0.2727272727272728,0.2777318603003539
0,0,MLP,sanity-3-non-add,Cruds,0.0,0.0,0.3333333333333333,0.0
0,0,MLP,sanity-3-non-add,do_calculus,0.6633333333333336,0.3349792696736786,0.6433333333333333,0.3440122736828505
0,0,MLP,sanity-3-non-add,growingspheres,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
0,0,MLP,sanity-3-non-add,wachter,0.16216216216216212,0.1666057838640264,0.17117117117117112,0.16660578386402636
0,0,linear,sanity-3-non-lin,actionable_recourse,,,,
0,0,forest,sanity-3-non-lin,FeatureTweak,0.8888888888888888,0.3142696805273545,1.0,0.0
0,0,forest,sanity-3-non-lin,focus,0.9533333333333336,0.1156623438193165,0.9166666666666669,0.17240134054647668
0,0,linear,sanity-3-non-lin,causal_recourse,0.5,0.5,0.5,0.5
0,0,linear,sanity-3-non-lin,cchvae,0.5,0.5,0.5,0.5
0,0,linear,sanity-3-non-lin,Clue,0.1568627450980392,0.16637806616154058,0.17647058823529413,0.16637806616154058
0,0,linear,sanity-3-non-lin,Cruds,0.16487455197132614,0.16665703136290566,0.16845878136200718,0.16665703136290566
0,0,linear,sanity-3-non-lin,do_calculus,0.65,0.4769696007084728,0.72,0.4489988864128728
0,0,linear,sanity-3-non-lin,growingspheres,0.5,0.5,0.5,0.5
0,0,linear,sanity-3-non-lin,wachter,0.1646090534979424,0.16665396486680314,0.16872427983539093,0.16665396486680314
0,0,MLP,sanity-3-non-lin,actionable_recourse,0.5,0.5,0.5,0.5
0,0,MLP,sanity-3-non-lin,causal_recourse,0.55,0.4974937185533101,0.54,0.4983974317750845
0,0,MLP,sanity-3-non-lin,cchvae,0.66,0.4737087712930805,0.63,0.4828043081829324
0,0,MLP,sanity-3-non-lin,Clue,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
0,0,MLP,sanity-3-non-lin,Cruds,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16666666666666669
0,0,MLP,sanity-3-non-lin,do_calculus,0.77,0.4208325082500164,0.88,0.32496153618543844
0,0,MLP,sanity-3-non-lin,growingspheres,0.5,0.5,0.5,0.5
0,0,MLP,sanity-3-non-lin,wachter,0.16312056737588648,0.166628937935755,0.17021276595744675,0.16662893793575506
