,semantic,correct_relationships,Success_Rate,model,CF,dataset
0,0.0,0.0,1.0,linear0,Cruds,credit
1,0.0,0.0,,linear0,Cruds,credit
2,0.0,0.0,,linear0,Cruds,credit
3,0.0,0.0,,linear0,Cruds,credit
4,0.0,0.0,,linear0,Cruds,credit
5,0.0,0.0,,linear0,Cruds,credit
6,0.0,0.0,,linear0,Cruds,credit
7,0.0,0.0,,linear0,Cruds,credit
8,0.0,0.0,,linear0,Cruds,credit
9,0.0,0.0,,linear0,Cruds,credit
10,0.0,0.0,,linear0,Cruds,credit
11,0.0,0.0,,linear0,Cruds,credit
12,0.0,0.0,,linear0,Cruds,credit
13,0.0,0.0,,linear0,Cruds,credit
14,0.0,0.0,,linear0,Cruds,credit
15,0.0,0.0,,linear0,Cruds,credit
16,0.0,0.0,,linear0,Cruds,credit
17,0.0,0.0,,linear0,Cruds,credit
18,0.0,0.0,,linear0,Cruds,credit
19,0.0,0.0,,linear0,Cruds,credit
20,0.0,0.0,,linear0,Cruds,credit
21,0.0,0.0,,linear0,Cruds,credit
22,0.0,0.0,,linear0,Cruds,credit
23,0.0,0.0,,linear0,Cruds,credit
24,0.0,0.0,,linear0,Cruds,credit
25,0.0,0.0,,linear0,Cruds,credit
26,0.0,0.0,,linear0,Cruds,credit
27,0.0,0.0,,linear0,Cruds,credit
28,0.0,0.0,,linear0,Cruds,credit
29,0.0,0.0,,linear0,Cruds,credit
30,0.0,0.0,,linear0,Cruds,credit
31,0.0,0.0,,linear0,Cruds,credit
32,0.0,0.0,,linear0,Cruds,credit
33,0.0,0.0,,linear0,Cruds,credit
34,0.0,0.0,,linear0,Cruds,credit
35,0.0,0.0,,linear0,Cruds,credit
36,0.0,0.0,,linear0,Cruds,credit
37,0.0,0.0,,linear0,Cruds,credit
38,0.0,0.0,,linear0,Cruds,credit
39,0.0,0.0,,linear0,Cruds,credit
40,0.0,0.0,,linear0,Cruds,credit
41,0.0,0.0,,linear0,Cruds,credit
42,0.0,0.0,,linear0,Cruds,credit
43,0.0,0.0,,linear0,Cruds,credit
44,0.0,0.0,,linear0,Cruds,credit
45,0.0,0.0,,linear0,Cruds,credit
46,0.0,0.0,,linear0,Cruds,credit
47,0.0,0.0,,linear0,Cruds,credit
48,0.0,0.0,,linear0,Cruds,credit
49,0.0,0.0,,linear0,Cruds,credit
50,0.0,0.0,,linear0,Cruds,credit
51,0.0,0.0,,linear0,Cruds,credit
52,0.0,0.0,,linear0,Cruds,credit
53,0.0,0.0,,linear0,Cruds,credit
54,0.0,0.0,,linear0,Cruds,credit
55,0.0,0.0,,linear0,Cruds,credit
56,0.0,0.0,,linear0,Cruds,credit
57,0.0,0.0,,linear0,Cruds,credit
58,0.0,0.0,,linear0,Cruds,credit
59,0.0,0.0,,linear0,Cruds,credit
60,0.0,0.0,,linear0,Cruds,credit
61,0.0,0.0,,linear0,Cruds,credit
62,0.0,0.0,,linear0,Cruds,credit
63,0.0,0.0,,linear0,Cruds,credit
64,0.0,0.0,,linear0,Cruds,credit
65,0.0,0.0,,linear0,Cruds,credit
66,0.0,0.0,,linear0,Cruds,credit
67,0.0,0.0,,linear0,Cruds,credit
68,0.0,0.0,,linear0,Cruds,credit
69,0.0,0.0,,linear0,Cruds,credit
70,0.0,0.0,,linear0,Cruds,credit
71,0.0,0.0,,linear0,Cruds,credit
72,0.0,0.0,,linear0,Cruds,credit
73,0.0,0.0,,linear0,Cruds,credit
74,0.0,0.0,,linear0,Cruds,credit
75,0.0,0.0,,linear0,Cruds,credit
76,0.0,0.0,,linear0,Cruds,credit
77,0.0,0.0,,linear0,Cruds,credit
78,0.0,0.0,,linear0,Cruds,credit
79,0.0,0.0,,linear0,Cruds,credit
80,0.0,0.0,,linear0,Cruds,credit
81,0.0,0.0,,linear0,Cruds,credit
82,0.0,0.0,,linear0,Cruds,credit
83,0.0,0.0,,linear0,Cruds,credit
84,0.0,0.0,,linear0,Cruds,credit
