,semantic,correct_relationships,model,CF,dataset
0,0,0.8571428571428571,linear0,cchvae,credit
1,0,0.8571428571428571,linear0,cchvae,credit
2,0,0.8571428571428571,linear0,cchvae,credit
3,0,0.8571428571428571,linear0,cchvae,credit
4,0,0.8571428571428571,linear0,cchvae,credit
5,0,0.8571428571428571,linear0,cchvae,credit
6,0,0.8571428571428571,linear0,cchvae,credit
7,0,0.8571428571428571,linear0,cchvae,credit
8,1,0.8571428571428571,linear0,cchvae,credit
9,1,0.8571428571428571,linear0,cchvae,credit
10,0,0.8571428571428571,linear0,cchvae,credit
11,0,0.8571428571428571,linear0,cchvae,credit
12,0,0.8571428571428571,linear0,cchvae,credit
13,0,0.8571428571428571,linear0,cchvae,credit
14,1,0.8571428571428571,linear0,cchvae,credit
15,0,0.8571428571428571,linear0,cchvae,credit
16,1,0.8571428571428571,linear0,cchvae,credit
17,1,0.8571428571428571,linear0,cchvae,credit
18,0,0.8571428571428571,linear0,cchvae,credit
19,0,0.8571428571428571,linear0,cchvae,credit
20,0,0.8571428571428571,linear0,cchvae,credit
21,0,0.8571428571428571,linear0,cchvae,credit
22,1,0.8571428571428571,linear0,cchvae,credit
23,0,0.8571428571428571,linear0,cchvae,credit
24,0,0.8571428571428571,linear0,cchvae,credit
25,1,0.8571428571428571,linear0,cchvae,credit
26,0,0.8571428571428571,linear0,cchvae,credit
27,0,0.8571428571428571,linear0,cchvae,credit
28,1,0.8571428571428571,linear0,cchvae,credit
29,1,0.8571428571428571,linear0,cchvae,credit
30,0,0.8571428571428571,linear0,cchvae,credit
31,1,0.8571428571428571,linear0,cchvae,credit
32,1,0.8571428571428571,linear0,cchvae,credit
33,0,0.8571428571428571,linear0,cchvae,credit
34,0,0.8571428571428571,linear0,cchvae,credit
35,0,0.8571428571428571,linear0,cchvae,credit
36,0,0.8571428571428571,linear0,cchvae,credit
37,0,0.8571428571428571,linear0,cchvae,credit
38,0,0.8571428571428571,linear0,cchvae,credit
39,1,0.8571428571428571,linear0,cchvae,credit
40,0,0.8571428571428571,linear0,cchvae,credit
41,1,0.8571428571428571,linear0,cchvae,credit
42,0,0.8571428571428571,linear0,cchvae,credit
43,0,0.8571428571428571,linear0,cchvae,credit
44,0,0.8571428571428571,linear0,cchvae,credit
45,1,0.8571428571428571,linear0,cchvae,credit
46,0,0.8571428571428571,linear0,cchvae,credit
47,0,0.8571428571428571,linear0,cchvae,credit
48,0,0.8571428571428571,linear0,cchvae,credit
49,1,0.8571428571428571,linear0,cchvae,credit
50,0,0.8571428571428571,linear0,cchvae,credit
51,0,0.8571428571428571,linear0,cchvae,credit
52,0,0.8571428571428571,linear0,cchvae,credit
53,1,0.8571428571428571,linear0,cchvae,credit
54,0,0.8571428571428571,linear0,cchvae,credit
55,0,0.8571428571428571,linear0,cchvae,credit
56,0,0.8571428571428571,linear0,cchvae,credit
57,0,0.8571428571428571,linear0,cchvae,credit
58,0,0.8571428571428571,linear0,cchvae,credit
59,1,0.8571428571428571,linear0,cchvae,credit
60,0,0.8571428571428571,linear0,cchvae,credit
61,0,0.8571428571428571,linear0,cchvae,credit
62,0,0.8571428571428571,linear0,cchvae,credit
63,0,0.8571428571428571,linear0,cchvae,credit
64,0,0.8571428571428571,linear0,cchvae,credit
65,1,0.8571428571428571,linear0,cchvae,credit
66,0,0.8571428571428571,linear0,cchvae,credit
67,0,0.8571428571428571,linear0,cchvae,credit
68,1,0.8571428571428571,linear0,cchvae,credit
69,0,0.8571428571428571,linear0,cchvae,credit
70,0,0.8571428571428571,linear0,cchvae,credit
71,1,0.8571428571428571,linear0,cchvae,credit
72,0,0.8571428571428571,linear0,cchvae,credit
73,1,0.8571428571428571,linear0,cchvae,credit
74,0,0.8571428571428571,linear0,cchvae,credit
75,1,0.8571428571428571,linear0,cchvae,credit
76,0,0.8571428571428571,linear0,cchvae,credit
77,0,0.8571428571428571,linear0,cchvae,credit
78,0,0.8571428571428571,linear0,cchvae,credit
79,1,0.8571428571428571,linear0,cchvae,credit
80,0,0.8571428571428571,linear0,cchvae,credit
81,0,0.8571428571428571,linear0,cchvae,credit
