,semantic,correct_relationships,model,CF,dataset
0,1,0.8571428571428571,MLP0,cchvae,credit
1,0,0.8571428571428571,MLP0,cchvae,credit
2,1,0.8571428571428571,MLP0,cchvae,credit
3,0,0.8571428571428571,MLP0,cchvae,credit
4,1,0.8571428571428571,MLP0,cchvae,credit
5,1,0.8571428571428571,MLP0,cchvae,credit
6,0,0.8571428571428571,MLP0,cchvae,credit
7,1,0.8571428571428571,MLP0,cchvae,credit
8,1,0.8571428571428571,MLP0,cchvae,credit
9,1,0.8571428571428571,MLP0,cchvae,credit
10,1,0.8571428571428571,MLP0,cchvae,credit
11,1,0.8571428571428571,MLP0,cchvae,credit
12,0,0.8571428571428571,MLP0,cchvae,credit
13,1,0.8571428571428571,MLP0,cchvae,credit
14,1,0.8571428571428571,MLP0,cchvae,credit
15,1,0.8571428571428571,MLP0,cchvae,credit
16,1,0.8571428571428571,MLP0,cchvae,credit
17,1,0.8571428571428571,MLP0,cchvae,credit
18,1,0.8571428571428571,MLP0,cchvae,credit
19,1,0.8571428571428571,MLP0,cchvae,credit
20,0,0.8571428571428571,MLP0,cchvae,credit
21,1,0.8571428571428571,MLP0,cchvae,credit
22,1,0.8571428571428571,MLP0,cchvae,credit
23,1,0.8571428571428571,MLP0,cchvae,credit
24,1,0.8571428571428571,MLP0,cchvae,credit
25,1,0.8571428571428571,MLP0,cchvae,credit
26,1,0.8571428571428571,MLP0,cchvae,credit
27,1,0.8571428571428571,MLP0,cchvae,credit
28,1,0.8571428571428571,MLP0,cchvae,credit
29,1,0.8571428571428571,MLP0,cchvae,credit
30,1,0.8571428571428571,MLP0,cchvae,credit
31,1,0.8571428571428571,MLP0,cchvae,credit
32,1,0.8571428571428571,MLP0,cchvae,credit
33,0,0.8571428571428571,MLP0,cchvae,credit
34,1,0.8571428571428571,MLP0,cchvae,credit
35,0,0.8571428571428571,MLP0,cchvae,credit
36,1,0.8571428571428571,MLP0,cchvae,credit
37,1,0.8571428571428571,MLP0,cchvae,credit
38,1,0.8571428571428571,MLP0,cchvae,credit
39,1,0.8571428571428571,MLP0,cchvae,credit
40,1,0.8571428571428571,MLP0,cchvae,credit
41,0,0.8571428571428571,MLP0,cchvae,credit
42,1,0.8571428571428571,MLP0,cchvae,credit
43,1,0.8571428571428571,MLP0,cchvae,credit
44,1,0.8571428571428571,MLP0,cchvae,credit
45,1,0.8571428571428571,MLP0,cchvae,credit
46,1,0.8571428571428571,MLP0,cchvae,credit
47,0,0.8571428571428571,MLP0,cchvae,credit
48,1,0.8571428571428571,MLP0,cchvae,credit
49,1,0.8571428571428571,MLP0,cchvae,credit
50,0,0.8571428571428571,MLP0,cchvae,credit
51,1,0.8571428571428571,MLP0,cchvae,credit
52,1,0.8571428571428571,MLP0,cchvae,credit
53,0,0.8571428571428571,MLP0,cchvae,credit
54,1,0.8571428571428571,MLP0,cchvae,credit
55,1,0.8571428571428571,MLP0,cchvae,credit
56,1,0.8571428571428571,MLP0,cchvae,credit
