,semantic,correct_relationships,Success_Rate,model,CF,dataset
0,0.0,0.0,1.0,linear0,Cruds,sanity-3-non-lin
1,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
2,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
3,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
4,1.0,1.0,,linear0,Cruds,sanity-3-non-lin
5,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
6,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
7,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
8,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
9,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
10,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
11,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
12,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
13,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
14,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
15,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
16,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
17,1.0,1.0,,linear0,Cruds,sanity-3-non-lin
18,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
19,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
20,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
21,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
22,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
23,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
24,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
25,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
26,1.0,1.0,,linear0,Cruds,sanity-3-non-lin
27,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
28,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
29,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
30,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
31,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
32,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
33,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
34,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
35,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
36,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
37,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
38,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
39,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
40,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
41,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
42,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
43,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
44,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
45,1.0,1.0,,linear0,Cruds,sanity-3-non-lin
46,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
47,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
48,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
49,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
50,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
51,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
52,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
53,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
54,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
55,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
56,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
57,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
58,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
59,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
60,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
61,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
62,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
63,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
64,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
65,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
66,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
67,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
68,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
69,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
70,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
71,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
72,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
73,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
74,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
75,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
76,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
77,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
78,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
79,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
80,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
81,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
82,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
83,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
84,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
85,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
86,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
87,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
88,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
89,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
90,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
91,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
92,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
93,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
94,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
95,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
96,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
97,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
98,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
99,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
100,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
101,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
102,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
103,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
104,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
105,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
106,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
107,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
108,0.0,1.0,,linear0,Cruds,sanity-3-non-lin
109,1.0,1.0,,linear0,Cruds,sanity-3-non-lin
110,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
111,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
112,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
113,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
114,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
115,0.0,0.0,,linear0,Cruds,sanity-3-non-lin
116,1.0,0.0,,linear0,Cruds,sanity-3-non-lin
117,1.0,1.0,,linear0,Cruds,sanity-3-non-lin
118,0.0,0.3333333333333333,,linear0,Cruds,sanity-3-non-lin
119,0.3333333333333333,0.3333333333333333,,linear0,Cruds,sanity-3-non-lin
120,0.3333333333333333,0.3333333333333333,,linear0,Cruds,sanity-3-non-lin
121,0.3333333333333333,0.3333333333333333,,linear0,Cruds,sanity-3-non-lin
122,0.3333333333333333,0.3333333333333333,,linear0,Cruds,sanity-3-non-lin
123,0.3333333333333333,0.3333333333333333,,linear0,Cruds,sanity-3-non-lin
