,semantic,correct_relationships,model,CF,dataset
0,1,1.0,MLP0,growingspheres,sanity-3-non-lin
1,1,1.0,MLP0,growingspheres,sanity-3-non-lin
2,1,1.0,MLP0,growingspheres,sanity-3-non-lin
3,1,1.0,MLP0,growingspheres,sanity-3-non-lin
4,1,1.0,MLP0,growingspheres,sanity-3-non-lin
5,1,1.0,MLP0,growingspheres,sanity-3-non-lin
6,1,1.0,MLP0,growingspheres,sanity-3-non-lin
7,1,1.0,MLP0,growingspheres,sanity-3-non-lin
8,1,1.0,MLP0,growingspheres,sanity-3-non-lin
9,1,1.0,MLP0,growingspheres,sanity-3-non-lin
10,1,1.0,MLP0,growingspheres,sanity-3-non-lin
11,1,1.0,MLP0,growingspheres,sanity-3-non-lin
12,1,1.0,MLP0,growingspheres,sanity-3-non-lin
13,1,1.0,MLP0,growingspheres,sanity-3-non-lin
14,1,1.0,MLP0,growingspheres,sanity-3-non-lin
15,0,1.0,MLP0,growingspheres,sanity-3-non-lin
16,1,1.0,MLP0,growingspheres,sanity-3-non-lin
17,1,1.0,MLP0,growingspheres,sanity-3-non-lin
18,1,1.0,MLP0,growingspheres,sanity-3-non-lin
19,0,1.0,MLP0,growingspheres,sanity-3-non-lin
20,0,1.0,MLP0,growingspheres,sanity-3-non-lin
21,1,1.0,MLP0,growingspheres,sanity-3-non-lin
22,0,1.0,MLP0,growingspheres,sanity-3-non-lin
23,1,1.0,MLP0,growingspheres,sanity-3-non-lin
24,1,1.0,MLP0,growingspheres,sanity-3-non-lin
25,1,1.0,MLP0,growingspheres,sanity-3-non-lin
26,0,1.0,MLP0,growingspheres,sanity-3-non-lin
27,1,1.0,MLP0,growingspheres,sanity-3-non-lin
28,0,1.0,MLP0,growingspheres,sanity-3-non-lin
29,1,1.0,MLP0,growingspheres,sanity-3-non-lin
30,1,1.0,MLP0,growingspheres,sanity-3-non-lin
31,1,1.0,MLP0,growingspheres,sanity-3-non-lin
32,1,1.0,MLP0,growingspheres,sanity-3-non-lin
33,0,1.0,MLP0,growingspheres,sanity-3-non-lin
34,0,1.0,MLP0,growingspheres,sanity-3-non-lin
35,1,1.0,MLP0,growingspheres,sanity-3-non-lin
36,1,1.0,MLP0,growingspheres,sanity-3-non-lin
37,1,1.0,MLP0,growingspheres,sanity-3-non-lin
38,1,1.0,MLP0,growingspheres,sanity-3-non-lin
39,1,1.0,MLP0,growingspheres,sanity-3-non-lin
40,0,1.0,MLP0,growingspheres,sanity-3-non-lin
41,0,1.0,MLP0,growingspheres,sanity-3-non-lin
42,1,1.0,MLP0,growingspheres,sanity-3-non-lin
43,1,1.0,MLP0,growingspheres,sanity-3-non-lin
44,1,1.0,MLP0,growingspheres,sanity-3-non-lin
45,0,1.0,MLP0,growingspheres,sanity-3-non-lin
46,1,1.0,MLP0,growingspheres,sanity-3-non-lin
47,1,1.0,MLP0,growingspheres,sanity-3-non-lin
48,1,1.0,MLP0,growingspheres,sanity-3-non-lin
49,1,1.0,MLP0,growingspheres,sanity-3-non-lin
50,1,1.0,MLP0,growingspheres,sanity-3-non-lin
51,1,1.0,MLP0,growingspheres,sanity-3-non-lin
52,1,1.0,MLP0,growingspheres,sanity-3-non-lin
53,0,1.0,MLP0,growingspheres,sanity-3-non-lin
54,0,1.0,MLP0,growingspheres,sanity-3-non-lin
55,1,1.0,MLP0,growingspheres,sanity-3-non-lin
56,0,1.0,MLP0,growingspheres,sanity-3-non-lin
57,1,1.0,MLP0,growingspheres,sanity-3-non-lin
58,0,1.0,MLP0,growingspheres,sanity-3-non-lin
59,1,1.0,MLP0,growingspheres,sanity-3-non-lin
60,0,1.0,MLP0,growingspheres,sanity-3-non-lin
61,1,1.0,MLP0,growingspheres,sanity-3-non-lin
62,0,1.0,MLP0,growingspheres,sanity-3-non-lin
63,1,1.0,MLP0,growingspheres,sanity-3-non-lin
64,1,1.0,MLP0,growingspheres,sanity-3-non-lin
65,1,1.0,MLP0,growingspheres,sanity-3-non-lin
66,1,1.0,MLP0,growingspheres,sanity-3-non-lin
67,1,1.0,MLP0,growingspheres,sanity-3-non-lin
68,1,1.0,MLP0,growingspheres,sanity-3-non-lin
69,1,1.0,MLP0,growingspheres,sanity-3-non-lin
70,0,1.0,MLP0,growingspheres,sanity-3-non-lin
71,0,1.0,MLP0,growingspheres,sanity-3-non-lin
72,1,1.0,MLP0,growingspheres,sanity-3-non-lin
73,0,1.0,MLP0,growingspheres,sanity-3-non-lin
74,1,1.0,MLP0,growingspheres,sanity-3-non-lin
75,1,1.0,MLP0,growingspheres,sanity-3-non-lin
76,1,1.0,MLP0,growingspheres,sanity-3-non-lin
77,1,1.0,MLP0,growingspheres,sanity-3-non-lin
78,1,1.0,MLP0,growingspheres,sanity-3-non-lin
79,1,1.0,MLP0,growingspheres,sanity-3-non-lin
80,1,1.0,MLP0,growingspheres,sanity-3-non-lin
81,0,1.0,MLP0,growingspheres,sanity-3-non-lin
82,1,1.0,MLP0,growingspheres,sanity-3-non-lin
83,1,1.0,MLP0,growingspheres,sanity-3-non-lin
84,0,1.0,MLP0,growingspheres,sanity-3-non-lin
85,1,1.0,MLP0,growingspheres,sanity-3-non-lin
86,1,1.0,MLP0,growingspheres,sanity-3-non-lin
87,1,1.0,MLP0,growingspheres,sanity-3-non-lin
88,1,1.0,MLP0,growingspheres,sanity-3-non-lin
89,1,1.0,MLP0,growingspheres,sanity-3-non-lin
90,1,1.0,MLP0,growingspheres,sanity-3-non-lin
91,1,1.0,MLP0,growingspheres,sanity-3-non-lin
92,1,1.0,MLP0,growingspheres,sanity-3-non-lin
93,1,1.0,MLP0,growingspheres,sanity-3-non-lin
94,1,1.0,MLP0,growingspheres,sanity-3-non-lin
95,1,1.0,MLP0,growingspheres,sanity-3-non-lin
96,1,1.0,MLP0,growingspheres,sanity-3-non-lin
97,1,1.0,MLP0,growingspheres,sanity-3-non-lin
98,1,1.0,MLP0,growingspheres,sanity-3-non-lin
99,1,1.0,MLP0,growingspheres,sanity-3-non-lin
100,1,1.0,MLP0,growingspheres,sanity-3-non-lin
101,1,1.0,MLP0,growingspheres,sanity-3-non-lin
102,0,1.0,MLP0,growingspheres,sanity-3-non-lin
103,1,1.0,MLP0,growingspheres,sanity-3-non-lin
104,1,1.0,MLP0,growingspheres,sanity-3-non-lin
105,1,1.0,MLP0,growingspheres,sanity-3-non-lin
106,1,1.0,MLP0,growingspheres,sanity-3-non-lin
107,1,1.0,MLP0,growingspheres,sanity-3-non-lin
108,1,1.0,MLP0,growingspheres,sanity-3-non-lin
109,1,1.0,MLP0,growingspheres,sanity-3-non-lin
110,1,1.0,MLP0,growingspheres,sanity-3-non-lin
111,1,1.0,MLP0,growingspheres,sanity-3-non-lin
112,1,1.0,MLP0,growingspheres,sanity-3-non-lin
113,1,1.0,MLP0,growingspheres,sanity-3-non-lin
114,1,1.0,MLP0,growingspheres,sanity-3-non-lin
115,1,1.0,MLP0,growingspheres,sanity-3-non-lin
116,1,1.0,MLP0,growingspheres,sanity-3-non-lin
117,1,1.0,MLP0,growingspheres,sanity-3-non-lin
118,1,1.0,MLP0,growingspheres,sanity-3-non-lin
119,1,1.0,MLP0,growingspheres,sanity-3-non-lin
120,0,1.0,MLP0,growingspheres,sanity-3-non-lin
121,1,1.0,MLP0,growingspheres,sanity-3-non-lin
122,1,1.0,MLP0,growingspheres,sanity-3-non-lin
123,0,1.0,MLP0,growingspheres,sanity-3-non-lin
124,0,1.0,MLP0,growingspheres,sanity-3-non-lin
125,0,1.0,MLP0,growingspheres,sanity-3-non-lin
126,1,1.0,MLP0,growingspheres,sanity-3-non-lin
127,0,1.0,MLP0,growingspheres,sanity-3-non-lin
128,1,1.0,MLP0,growingspheres,sanity-3-non-lin
129,1,1.0,MLP0,growingspheres,sanity-3-non-lin
130,1,1.0,MLP0,growingspheres,sanity-3-non-lin
131,0,1.0,MLP0,growingspheres,sanity-3-non-lin
132,1,1.0,MLP0,growingspheres,sanity-3-non-lin
133,0,1.0,MLP0,growingspheres,sanity-3-non-lin
134,1,1.0,MLP0,growingspheres,sanity-3-non-lin
135,1,1.0,MLP0,growingspheres,sanity-3-non-lin
136,1,1.0,MLP0,growingspheres,sanity-3-non-lin
137,1,1.0,MLP0,growingspheres,sanity-3-non-lin
138,1,1.0,MLP0,growingspheres,sanity-3-non-lin
139,0,1.0,MLP0,growingspheres,sanity-3-non-lin
140,1,1.0,MLP0,growingspheres,sanity-3-non-lin
141,1,1.0,MLP0,growingspheres,sanity-3-non-lin
142,1,1.0,MLP0,growingspheres,sanity-3-non-lin
143,1,1.0,MLP0,growingspheres,sanity-3-non-lin
144,0,1.0,MLP0,growingspheres,sanity-3-non-lin
145,1,1.0,MLP0,growingspheres,sanity-3-non-lin
146,1,1.0,MLP0,growingspheres,sanity-3-non-lin
147,1,1.0,MLP0,growingspheres,sanity-3-non-lin
148,0,1.0,MLP0,growingspheres,sanity-3-non-lin
149,1,1.0,MLP0,growingspheres,sanity-3-non-lin
150,1,1.0,MLP0,growingspheres,sanity-3-non-lin
151,1,1.0,MLP0,growingspheres,sanity-3-non-lin
152,0,1.0,MLP0,growingspheres,sanity-3-non-lin
153,0,1.0,MLP0,growingspheres,sanity-3-non-lin
154,1,1.0,MLP0,growingspheres,sanity-3-non-lin
155,1,1.0,MLP0,growingspheres,sanity-3-non-lin
156,0,1.0,MLP0,growingspheres,sanity-3-non-lin
157,1,1.0,MLP0,growingspheres,sanity-3-non-lin
158,1,1.0,MLP0,growingspheres,sanity-3-non-lin
159,1,1.0,MLP0,growingspheres,sanity-3-non-lin
160,0,1.0,MLP0,growingspheres,sanity-3-non-lin
161,1,1.0,MLP0,growingspheres,sanity-3-non-lin
162,1,1.0,MLP0,growingspheres,sanity-3-non-lin
163,1,1.0,MLP0,growingspheres,sanity-3-non-lin
164,1,1.0,MLP0,growingspheres,sanity-3-non-lin
165,1,1.0,MLP0,growingspheres,sanity-3-non-lin
166,1,1.0,MLP0,growingspheres,sanity-3-non-lin
167,1,1.0,MLP0,growingspheres,sanity-3-non-lin
168,1,1.0,MLP0,growingspheres,sanity-3-non-lin
169,0,1.0,MLP0,growingspheres,sanity-3-non-lin
170,0,1.0,MLP0,growingspheres,sanity-3-non-lin
