,semantic,correct_relationships,model,CF,dataset
0,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
1,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
2,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
3,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
4,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
5,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
6,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
7,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
8,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
9,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
10,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
11,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
12,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
13,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
14,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
15,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
16,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
17,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
18,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
19,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
20,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
21,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
22,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
23,1,0.6666666666666666,MLP0,wachter,sanity-3-non-lin
24,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
25,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
26,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
27,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
28,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
29,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
30,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
31,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
32,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
33,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
34,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
35,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
36,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
37,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
38,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
39,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
40,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
41,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
42,0,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
43,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
44,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
45,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
46,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
47,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
48,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
49,1,0.3333333333333333,MLP0,wachter,sanity-3-non-lin
