,semantic,correct_relationships,model,CF,dataset
0,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
1,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
2,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
3,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
4,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
5,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
6,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
7,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
8,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
9,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
10,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
11,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
12,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
13,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
14,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
15,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
16,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
17,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
18,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
19,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
20,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
21,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
22,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
23,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
24,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
25,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
26,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
27,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
28,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
29,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
30,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
31,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
32,0,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
33,1,0.6666666666666666,forest0,FeatureTweak,sanity-3-non-add
