,semantic,correct_relationships,model,CF,dataset
0,0.0,0.0,MLP,cchvae,sanity-3-non-add
1,0.0,0.0,MLP,cchvae,sanity-3-non-add
2,1.0,1.0,MLP,cchvae,sanity-3-non-add
3,1.0,1.0,MLP,cchvae,sanity-3-non-add
4,0.0,1.0,MLP,cchvae,sanity-3-non-add
5,1.0,0.0,MLP,cchvae,sanity-3-non-add
6,0.0,1.0,MLP,cchvae,sanity-3-non-add
7,1.0,1.0,MLP,cchvae,sanity-3-non-add
8,0.0,1.0,MLP,cchvae,sanity-3-non-add
9,0.0,0.0,MLP,cchvae,sanity-3-non-add
10,1.0,0.0,MLP,cchvae,sanity-3-non-add
11,1.0,1.0,MLP,cchvae,sanity-3-non-add
12,0.0,1.0,MLP,cchvae,sanity-3-non-add
13,1.0,1.0,MLP,cchvae,sanity-3-non-add
14,1.0,1.0,MLP,cchvae,sanity-3-non-add
15,1.0,0.0,MLP,cchvae,sanity-3-non-add
16,0.0,1.0,MLP,cchvae,sanity-3-non-add
17,0.0,1.0,MLP,cchvae,sanity-3-non-add
18,1.0,0.0,MLP,cchvae,sanity-3-non-add
19,1.0,0.0,MLP,cchvae,sanity-3-non-add
20,1.0,1.0,MLP,cchvae,sanity-3-non-add
21,1.0,0.0,MLP,cchvae,sanity-3-non-add
22,1.0,0.0,MLP,cchvae,sanity-3-non-add
23,0.0,1.0,MLP,cchvae,sanity-3-non-add
24,1.0,0.0,MLP,cchvae,sanity-3-non-add
25,1.0,0.0,MLP,cchvae,sanity-3-non-add
26,1.0,1.0,MLP,cchvae,sanity-3-non-add
27,0.0,1.0,MLP,cchvae,sanity-3-non-add
28,1.0,1.0,MLP,cchvae,sanity-3-non-add
29,0.0,1.0,MLP,cchvae,sanity-3-non-add
30,1.0,0.0,MLP,cchvae,sanity-3-non-add
31,1.0,1.0,MLP,cchvae,sanity-3-non-add
32,1.0,1.0,MLP,cchvae,sanity-3-non-add
33,0.0,0.0,MLP,cchvae,sanity-3-non-add
34,1.0,1.0,MLP,cchvae,sanity-3-non-add
35,1.0,1.0,MLP,cchvae,sanity-3-non-add
36,0.0,1.0,MLP,cchvae,sanity-3-non-add
37,1.0,1.0,MLP,cchvae,sanity-3-non-add
38,0.0,0.0,MLP,cchvae,sanity-3-non-add
39,1.0,0.0,MLP,cchvae,sanity-3-non-add
40,1.0,1.0,MLP,cchvae,sanity-3-non-add
41,1.0,1.0,MLP,cchvae,sanity-3-non-add
42,1.0,0.0,MLP,cchvae,sanity-3-non-add
43,0.0,1.0,MLP,cchvae,sanity-3-non-add
44,0.0,0.0,MLP,cchvae,sanity-3-non-add
45,1.0,1.0,MLP,cchvae,sanity-3-non-add
46,1.0,0.0,MLP,cchvae,sanity-3-non-add
47,0.0,1.0,MLP,cchvae,sanity-3-non-add
48,1.0,0.0,MLP,cchvae,sanity-3-non-add
49,1.0,0.0,MLP,cchvae,sanity-3-non-add
50,1.0,0.6666666666666666,MLP,cchvae,sanity-3-non-add
51,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
52,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
53,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
54,1.0,0.6666666666666666,MLP,cchvae,sanity-3-non-add
55,0.6666666666666666,1.0,MLP,cchvae,sanity-3-non-add
56,1.0,0.6666666666666666,MLP,cchvae,sanity-3-non-add
57,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
58,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
59,0.6666666666666666,1.0,MLP,cchvae,sanity-3-non-add
60,0.6666666666666666,1.0,MLP,cchvae,sanity-3-non-add
61,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
62,1.0,0.6666666666666666,MLP,cchvae,sanity-3-non-add
63,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
64,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
65,0.6666666666666666,1.0,MLP,cchvae,sanity-3-non-add
66,1.0,0.6666666666666666,MLP,cchvae,sanity-3-non-add
67,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
68,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
69,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
70,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
71,0.6666666666666666,1.0,MLP,cchvae,sanity-3-non-add
72,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
73,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
74,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
75,0.6666666666666666,1.0,MLP,cchvae,sanity-3-non-add
76,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
77,1.0,0.6666666666666666,MLP,cchvae,sanity-3-non-add
78,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
79,1.0,0.6666666666666666,MLP,cchvae,sanity-3-non-add
80,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
81,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
82,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
83,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
84,1.0,0.6666666666666666,MLP,cchvae,sanity-3-non-add
85,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
86,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
87,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
88,1.0,1.0,MLP,cchvae,sanity-3-non-add
89,0.6666666666666666,1.0,MLP,cchvae,sanity-3-non-add
90,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
91,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
92,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
93,1.0,1.0,MLP,cchvae,sanity-3-non-add
94,1.0,1.0,MLP,cchvae,sanity-3-non-add
95,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
96,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
97,1.0,0.6666666666666666,MLP,cchvae,sanity-3-non-add
98,0.6666666666666666,1.0,MLP,cchvae,sanity-3-non-add
99,0.6666666666666666,0.6666666666666666,MLP,cchvae,sanity-3-non-add
