,semantic,correct_relationships,Success_Rate,model,CF,dataset
0,0.0,0.0,1.0,linear0,growingspheres,sanity-3-lin
1,0.0,0.0,,linear0,growingspheres,sanity-3-lin
2,0.0,0.0,,linear0,growingspheres,sanity-3-lin
3,0.0,0.0,,linear0,growingspheres,sanity-3-lin
4,0.0,0.0,,linear0,growingspheres,sanity-3-lin
5,0.0,0.0,,linear0,growingspheres,sanity-3-lin
6,0.0,0.0,,linear0,growingspheres,sanity-3-lin
7,0.0,0.0,,linear0,growingspheres,sanity-3-lin
8,0.0,0.0,,linear0,growingspheres,sanity-3-lin
9,0.0,0.0,,linear0,growingspheres,sanity-3-lin
10,0.0,0.0,,linear0,growingspheres,sanity-3-lin
11,0.0,0.0,,linear0,growingspheres,sanity-3-lin
12,0.0,0.0,,linear0,growingspheres,sanity-3-lin
13,0.0,0.0,,linear0,growingspheres,sanity-3-lin
14,0.0,0.0,,linear0,growingspheres,sanity-3-lin
15,0.0,0.0,,linear0,growingspheres,sanity-3-lin
16,0.0,0.0,,linear0,growingspheres,sanity-3-lin
17,0.0,0.0,,linear0,growingspheres,sanity-3-lin
18,0.0,0.0,,linear0,growingspheres,sanity-3-lin
19,0.0,0.0,,linear0,growingspheres,sanity-3-lin
20,0.0,0.0,,linear0,growingspheres,sanity-3-lin
21,0.0,0.0,,linear0,growingspheres,sanity-3-lin
22,0.0,0.0,,linear0,growingspheres,sanity-3-lin
23,0.0,0.0,,linear0,growingspheres,sanity-3-lin
24,0.0,0.0,,linear0,growingspheres,sanity-3-lin
25,0.0,0.0,,linear0,growingspheres,sanity-3-lin
26,0.0,0.0,,linear0,growingspheres,sanity-3-lin
27,0.0,0.0,,linear0,growingspheres,sanity-3-lin
28,0.0,0.0,,linear0,growingspheres,sanity-3-lin
29,0.0,0.0,,linear0,growingspheres,sanity-3-lin
30,0.0,0.0,,linear0,growingspheres,sanity-3-lin
31,0.0,0.0,,linear0,growingspheres,sanity-3-lin
32,0.0,0.0,,linear0,growingspheres,sanity-3-lin
33,0.0,0.0,,linear0,growingspheres,sanity-3-lin
34,0.0,0.0,,linear0,growingspheres,sanity-3-lin
35,0.0,0.0,,linear0,growingspheres,sanity-3-lin
36,0.0,0.0,,linear0,growingspheres,sanity-3-lin
37,0.0,0.0,,linear0,growingspheres,sanity-3-lin
38,0.0,0.0,,linear0,growingspheres,sanity-3-lin
39,0.0,0.0,,linear0,growingspheres,sanity-3-lin
40,0.0,0.0,,linear0,growingspheres,sanity-3-lin
41,0.0,0.0,,linear0,growingspheres,sanity-3-lin
42,0.0,0.0,,linear0,growingspheres,sanity-3-lin
43,0.0,0.0,,linear0,growingspheres,sanity-3-lin
44,0.0,0.0,,linear0,growingspheres,sanity-3-lin
45,0.0,0.0,,linear0,growingspheres,sanity-3-lin
46,0.0,0.0,,linear0,growingspheres,sanity-3-lin
47,0.0,0.0,,linear0,growingspheres,sanity-3-lin
48,0.0,0.0,,linear0,growingspheres,sanity-3-lin
49,0.0,0.0,,linear0,growingspheres,sanity-3-lin
50,0.0,0.0,,linear0,growingspheres,sanity-3-lin
51,0.0,0.0,,linear0,growingspheres,sanity-3-lin
52,0.0,0.0,,linear0,growingspheres,sanity-3-lin
53,0.0,0.0,,linear0,growingspheres,sanity-3-lin
54,0.0,0.0,,linear0,growingspheres,sanity-3-lin
55,0.0,0.0,,linear0,growingspheres,sanity-3-lin
56,0.0,0.0,,linear0,growingspheres,sanity-3-lin
57,0.0,0.0,,linear0,growingspheres,sanity-3-lin
58,0.0,0.0,,linear0,growingspheres,sanity-3-lin
59,0.0,0.0,,linear0,growingspheres,sanity-3-lin
60,0.0,1.0,,linear0,growingspheres,sanity-3-lin
61,1.0,1.0,,linear0,growingspheres,sanity-3-lin
62,1.0,1.0,,linear0,growingspheres,sanity-3-lin
63,1.0,1.0,,linear0,growingspheres,sanity-3-lin
64,1.0,1.0,,linear0,growingspheres,sanity-3-lin
65,1.0,1.0,,linear0,growingspheres,sanity-3-lin
66,1.0,1.0,,linear0,growingspheres,sanity-3-lin
67,1.0,1.0,,linear0,growingspheres,sanity-3-lin
68,1.0,1.0,,linear0,growingspheres,sanity-3-lin
69,1.0,1.0,,linear0,growingspheres,sanity-3-lin
70,1.0,1.0,,linear0,growingspheres,sanity-3-lin
71,1.0,1.0,,linear0,growingspheres,sanity-3-lin
72,1.0,1.0,,linear0,growingspheres,sanity-3-lin
73,1.0,1.0,,linear0,growingspheres,sanity-3-lin
74,1.0,1.0,,linear0,growingspheres,sanity-3-lin
75,1.0,1.0,,linear0,growingspheres,sanity-3-lin
76,1.0,1.0,,linear0,growingspheres,sanity-3-lin
77,1.0,1.0,,linear0,growingspheres,sanity-3-lin
78,1.0,1.0,,linear0,growingspheres,sanity-3-lin
79,1.0,1.0,,linear0,growingspheres,sanity-3-lin
80,1.0,1.0,,linear0,growingspheres,sanity-3-lin
81,1.0,1.0,,linear0,growingspheres,sanity-3-lin
82,1.0,1.0,,linear0,growingspheres,sanity-3-lin
83,1.0,1.0,,linear0,growingspheres,sanity-3-lin
84,1.0,1.0,,linear0,growingspheres,sanity-3-lin
85,1.0,1.0,,linear0,growingspheres,sanity-3-lin
86,1.0,1.0,,linear0,growingspheres,sanity-3-lin
87,1.0,1.0,,linear0,growingspheres,sanity-3-lin
88,1.0,1.0,,linear0,growingspheres,sanity-3-lin
89,1.0,1.0,,linear0,growingspheres,sanity-3-lin
90,1.0,1.0,,linear0,growingspheres,sanity-3-lin
91,1.0,1.0,,linear0,growingspheres,sanity-3-lin
92,1.0,1.0,,linear0,growingspheres,sanity-3-lin
93,1.0,1.0,,linear0,growingspheres,sanity-3-lin
94,1.0,1.0,,linear0,growingspheres,sanity-3-lin
95,1.0,1.0,,linear0,growingspheres,sanity-3-lin
96,1.0,1.0,,linear0,growingspheres,sanity-3-lin
97,1.0,1.0,,linear0,growingspheres,sanity-3-lin
98,1.0,1.0,,linear0,growingspheres,sanity-3-lin
99,1.0,1.0,,linear0,growingspheres,sanity-3-lin
100,1.0,1.0,,linear0,growingspheres,sanity-3-lin
101,1.0,1.0,,linear0,growingspheres,sanity-3-lin
102,1.0,1.0,,linear0,growingspheres,sanity-3-lin
103,1.0,1.0,,linear0,growingspheres,sanity-3-lin
104,1.0,1.0,,linear0,growingspheres,sanity-3-lin
105,1.0,1.0,,linear0,growingspheres,sanity-3-lin
106,1.0,1.0,,linear0,growingspheres,sanity-3-lin
107,1.0,1.0,,linear0,growingspheres,sanity-3-lin
108,1.0,1.0,,linear0,growingspheres,sanity-3-lin
109,1.0,1.0,,linear0,growingspheres,sanity-3-lin
110,1.0,1.0,,linear0,growingspheres,sanity-3-lin
111,1.0,1.0,,linear0,growingspheres,sanity-3-lin
112,1.0,1.0,,linear0,growingspheres,sanity-3-lin
113,1.0,1.0,,linear0,growingspheres,sanity-3-lin
114,1.0,1.0,,linear0,growingspheres,sanity-3-lin
115,1.0,1.0,,linear0,growingspheres,sanity-3-lin
116,1.0,1.0,,linear0,growingspheres,sanity-3-lin
117,1.0,1.0,,linear0,growingspheres,sanity-3-lin
118,1.0,1.0,,linear0,growingspheres,sanity-3-lin
119,1.0,1.0,,linear0,growingspheres,sanity-3-lin
120,1.0,1.0,,linear0,growingspheres,sanity-3-lin
