,model,dataset,auc
0,Forest,credit,0.8166014425512267
1,Forest,economic,0.8097077922077922
2,Forest,sanity-3-lin,0.8082908320019664
3,Forest,sanity-3-non-add,0.7322511631771352
4,Forest,sanity-3-non-lin,0.968270187619928
5,Linear,credit,0.7569886822932901
6,Linear,economic,0.8253352069640664
7,Linear,nutrition,0.8839636344074453
8,Linear,sanity-3-lin,0.9967915893439697
9,Linear,sanity-3-non-add,0.9970683889317211
10,Linear,sanity-3-non-lin,0.997874149659864
11,MLP,credit,0.6940035425784773
12,MLP,economic,0.8212650369658744
13,MLP,nutrition,0.9000865043594739
14,MLP,sanity-3-lin,0.9972482371017927
15,MLP,sanity-3-non-add,0.9938719180581082
16,MLP,sanity-3-non-lin,0.9995812395309882
