,semantic,correct_relationships,Success_Rate,model,CF,dataset
0,1.0,1.0,1.0,forest0,focus,sanity-3-non-lin
1,1.0,1.0,,forest0,focus,sanity-3-non-lin
2,1.0,1.0,,forest0,focus,sanity-3-non-lin
3,1.0,1.0,,forest0,focus,sanity-3-non-lin
4,1.0,1.0,,forest0,focus,sanity-3-non-lin
5,1.0,1.0,,forest0,focus,sanity-3-non-lin
6,1.0,1.0,,forest0,focus,sanity-3-non-lin
7,1.0,1.0,,forest0,focus,sanity-3-non-lin
8,1.0,1.0,,forest0,focus,sanity-3-non-lin
9,1.0,1.0,,forest0,focus,sanity-3-non-lin
10,1.0,1.0,,forest0,focus,sanity-3-non-lin
11,1.0,1.0,,forest0,focus,sanity-3-non-lin
12,1.0,1.0,,forest0,focus,sanity-3-non-lin
13,1.0,1.0,,forest0,focus,sanity-3-non-lin
14,1.0,1.0,,forest0,focus,sanity-3-non-lin
15,1.0,1.0,,forest0,focus,sanity-3-non-lin
16,1.0,1.0,,forest0,focus,sanity-3-non-lin
17,1.0,1.0,,forest0,focus,sanity-3-non-lin
18,1.0,1.0,,forest0,focus,sanity-3-non-lin
19,1.0,1.0,,forest0,focus,sanity-3-non-lin
20,1.0,1.0,,forest0,focus,sanity-3-non-lin
21,1.0,1.0,,forest0,focus,sanity-3-non-lin
22,1.0,1.0,,forest0,focus,sanity-3-non-lin
23,1.0,1.0,,forest0,focus,sanity-3-non-lin
24,1.0,1.0,,forest0,focus,sanity-3-non-lin
25,1.0,1.0,,forest0,focus,sanity-3-non-lin
26,1.0,1.0,,forest0,focus,sanity-3-non-lin
27,1.0,1.0,,forest0,focus,sanity-3-non-lin
28,1.0,1.0,,forest0,focus,sanity-3-non-lin
29,1.0,1.0,,forest0,focus,sanity-3-non-lin
30,1.0,1.0,,forest0,focus,sanity-3-non-lin
31,1.0,1.0,,forest0,focus,sanity-3-non-lin
32,1.0,1.0,,forest0,focus,sanity-3-non-lin
33,1.0,1.0,,forest0,focus,sanity-3-non-lin
34,1.0,1.0,,forest0,focus,sanity-3-non-lin
35,1.0,1.0,,forest0,focus,sanity-3-non-lin
36,1.0,1.0,,forest0,focus,sanity-3-non-lin
37,1.0,1.0,,forest0,focus,sanity-3-non-lin
38,1.0,1.0,,forest0,focus,sanity-3-non-lin
39,1.0,1.0,,forest0,focus,sanity-3-non-lin
40,1.0,1.0,,forest0,focus,sanity-3-non-lin
41,1.0,1.0,,forest0,focus,sanity-3-non-lin
42,1.0,1.0,,forest0,focus,sanity-3-non-lin
43,1.0,1.0,,forest0,focus,sanity-3-non-lin
44,1.0,1.0,,forest0,focus,sanity-3-non-lin
45,1.0,1.0,,forest0,focus,sanity-3-non-lin
46,1.0,1.0,,forest0,focus,sanity-3-non-lin
47,1.0,1.0,,forest0,focus,sanity-3-non-lin
48,1.0,1.0,,forest0,focus,sanity-3-non-lin
49,1.0,1.0,,forest0,focus,sanity-3-non-lin
50,1.0,1.0,,forest0,focus,sanity-3-non-lin
51,1.0,1.0,,forest0,focus,sanity-3-non-lin
52,1.0,1.0,,forest0,focus,sanity-3-non-lin
53,1.0,1.0,,forest0,focus,sanity-3-non-lin
54,1.0,1.0,,forest0,focus,sanity-3-non-lin
55,1.0,1.0,,forest0,focus,sanity-3-non-lin
56,1.0,1.0,,forest0,focus,sanity-3-non-lin
57,1.0,1.0,,forest0,focus,sanity-3-non-lin
58,1.0,1.0,,forest0,focus,sanity-3-non-lin
59,1.0,1.0,,forest0,focus,sanity-3-non-lin
60,1.0,1.0,,forest0,focus,sanity-3-non-lin
61,1.0,1.0,,forest0,focus,sanity-3-non-lin
62,1.0,1.0,,forest0,focus,sanity-3-non-lin
63,1.0,1.0,,forest0,focus,sanity-3-non-lin
64,1.0,1.0,,forest0,focus,sanity-3-non-lin
65,1.0,0.6666666666666666,,forest0,focus,sanity-3-non-lin
66,0.3333333333333333,1.0,,forest0,focus,sanity-3-non-lin
67,0.6666666666666666,1.0,,forest0,focus,sanity-3-non-lin
68,1.0,1.0,,forest0,focus,sanity-3-non-lin
69,1.0,1.0,,forest0,focus,sanity-3-non-lin
70,1.0,0.6666666666666666,,forest0,focus,sanity-3-non-lin
71,0.6666666666666666,1.0,,forest0,focus,sanity-3-non-lin
72,0.6666666666666666,0.6666666666666666,,forest0,focus,sanity-3-non-lin
73,1.0,0.6666666666666666,,forest0,focus,sanity-3-non-lin
74,1.0,1.0,,forest0,focus,sanity-3-non-lin
75,0.6666666666666666,0.6666666666666666,,forest0,focus,sanity-3-non-lin
76,1.0,1.0,,forest0,focus,sanity-3-non-lin
77,1.0,1.0,,forest0,focus,sanity-3-non-lin
78,1.0,1.0,,forest0,focus,sanity-3-non-lin
79,1.0,0.6666666666666666,,forest0,focus,sanity-3-non-lin
80,1.0,1.0,,forest0,focus,sanity-3-non-lin
81,0.3333333333333333,0.6666666666666666,,forest0,focus,sanity-3-non-lin
